sID,pID,per,E_per,e_per,rad,E_rad,e_rad,axis,E_axis,e_axis,koi_disposition,koi_pdisposition,reliability,comp,avg_comp,mdwarf_comp,new_comp
6278762,K03158.05,9.74048508,2.348e-05,-2.348e-05,1.0588035415518058,0.0331221292966306,-0.1534590786548877,0.0812025398655399,0.0007672034068194,-0.0005774097478196,CONFIRMED,CANDIDATE,0.9998790029864176,0.0421578574868914,0.0184723989349266,0.0172839673754156,0.04210988557030108
9579208,K03165.01,4.11754421,2.626e-05,-2.626e-05,1.0580711106306255,0.0389287585252011,-0.0415704282529851,0.0553213776091073,0.0007027807051245,-0.0008266159255831,CANDIDATE,CANDIDATE,0.9992040379171792,0.1338674379859676,0.0495001120660375,0.0366780726651206,0.13332431241647397
5985713,K03190.01,8.95294046,8.727e-05,-8.727e-05,0.7962766340243557,0.1933680433182872,-0.0653069385353914,0.0885812871577532,0.0005659295642207,-0.0007603172579802,CANDIDATE,CANDIDATE,0.3287529298131764,0.0485064251654383,0.007411362691192,0.0110575324984364,0.04845516338851687
10467815,K03191.02,371.17573,0.02868,-0.02868,2.3350349300173865,0.4941173865982238,-0.2974811512413406,1.2604802228452572,0.0202194561933277,-0.0188080815029731,CANDIDATE,CANDIDATE,0.7587822700147799,0.0028046393656064,0.001324010773376,0.0008049841322082,0.0027896006423556957
12004971,K03194.01,10.81315417,3.982e-05,-3.982e-05,1.7263139665910543,0.62302259406367,-0.2054043025113774,0.1081906148249704,0.0017719465857674,-0.0015950620213481,CANDIDATE,CANDIDATE,0.1598909299105451,0.0660066657748413,0.0391436826913692,0.0213806430478493,0.06580795645420945
9002538,K03196.01,4.96061094,2.81e-05,-2.81e-05,0.5596336418214578,0.0311521506824546,-0.036185371003914,0.0606812976439162,0.0008045174192351,-0.0009932589945101,CANDIDATE,CANDIDATE,0.9952818954013416,0.0704679881089647,0.0035685384509692,0.0076873448281858,0.0701895636726071
9002538,K03196.02,6.88297756,4.964e-05,-4.964e-05,0.7228629804486144,0.0259171300428379,-0.0590389055001912,0.0754741442325751,0.0009379398208056,-0.0012574138732039,CANDIDATE,CANDIDATE,0.5263413677992276,0.0658629737286279,0.0070053180960379,0.0117820480325906,0.06573965757771859
8443527,K03197.01,22.599501,0.001566,-0.001566,0.961960728592562,0.4851722361512782,-0.1960526449377209,0.1606236352953815,0.0025639583753091,-0.0038460221328509,CANDIDATE,CANDIDATE,0.0,0.0261486938819846,0.0043129102154444,0.0061631958813804,0.025929529334457545
3122872,K03203.01,96.81647,0.0008937,-0.0008937,2.146088299713917,0.0973143858223961,-0.0868983856715286,0.4570039370877156,0.0066634712002354,-0.0055459792247756,CANDIDATE,CANDIDATE,0.9980268837558296,0.01245276324619,0.0069881282817035,0.0040113618838274,0.012380458666438004
7017274,K03209.01,11.91256675,8.508e-05,-8.508e-05,2.4415757778454914,0.0965629528846823,-0.0914903071683883,0.1183640234655106,0.0017137501193287,-0.001992746609153,CANDIDATE,CANDIDATE,0.999711424941619,0.0763663967741068,0.0422592089082287,0.0225324823929106,0.07604946026685402
